Placed player on floor 5, ypos=30, yy=0x0100

=== FORCING FALL from floor 5, yy=0100 ===
floor_ypos: 2 6 12 18 24 30 38 42 48 52 58 66 72 76 80 86 92 98 104 112 
Target: floor 4, ypos=24, target_yy=0x00D0
F461: st=5 fl=4 yy=FE7C yvel=105(0x69)
F462: st=5 fl=4 yy=FE80 yvel=104(0x68)
F463: st=5 fl=4 yy=FE84 yvel=103(0x67)
F464: st=5 fl=4 yy=FE88 yvel=102(0x66)
F465: st=5 fl=4 yy=FE8C yvel=101(0x65)
F466: st=5 fl=4 yy=FE90 yvel=100(0x64)
F467: st=5 fl=4 yy=FE94 yvel=99(0x63)
F468: st=5 fl=4 yy=FE98 yvel=98(0x62)
F469: st=5 fl=4 yy=FE9C yvel=97(0x61)
F470: st=5 fl=4 yy=FEA0 yvel=96(0x60)
F471: st=5 fl=4 yy=FEA4 yvel=95(0x5F)
F472: st=5 fl=4 yy=FEA8 yvel=94(0x5E)
F473: st=5 fl=4 yy=FEAC yvel=93(0x5D)
F474: st=5 fl=4 yy=FEB0 yvel=92(0x5C)
F475: st=5 fl=4 yy=FEB4 yvel=91(0x5B)
F476: st=5 fl=4 yy=FEB8 yvel=90(0x5A)
F477: st=5 fl=4 yy=FEBC yvel=89(0x59)
F478: st=5 fl=4 yy=FEC0 yvel=88(0x58)
F479: st=5 fl=4 yy=FEC4 yvel=87(0x57)
F480: st=5 fl=4 yy=FEC8 yvel=86(0x56)
F481: st=5 fl=4 yy=FECC yvel=85(0x55)
F482: st=5 fl=4 yy=FED0 yvel=84(0x54)
F483: st=5 fl=4 yy=FED4 yvel=83(0x53)
F484: st=5 fl=4 yy=FED8 yvel=82(0x52)
F485: st=5 fl=4 yy=FEDC yvel=81(0x51)
F486: st=5 fl=4 yy=FEE0 yvel=80(0x50)
F487: st=5 fl=4 yy=FEE4 yvel=79(0x4F)
F488: st=5 fl=4 yy=FEE8 yvel=78(0x4E)
F489: st=5 fl=4 yy=FEEC yvel=77(0x4D)
F490: st=5 fl=4 yy=FEF0 yvel=76(0x4C)
F491: st=5 fl=4 yy=FEF4 yvel=75(0x4B)
F492: st=5 fl=4 yy=FEF8 yvel=74(0x4A)
F493: st=5 fl=4 yy=FEFC yvel=73(0x49)
F494: st=5 fl=4 yy=FF00 yvel=72(0x48)
F495: st=5 fl=4 yy=FF04 yvel=71(0x47)
F496: st=5 fl=4 yy=FF08 yvel=70(0x46)
F497: st=5 fl=4 yy=FF0C yvel=69(0x45)
F498: st=5 fl=4 yy=FF10 yvel=68(0x44)
F499: st=5 fl=4 yy=FF14 yvel=67(0x43)
F500: st=5 fl=4 yy=FF18 yvel=66(0x42)
F501: st=5 fl=4 yy=FF1C yvel=65(0x41)
F502: st=5 fl=4 yy=FF20 yvel=64(0x40)
F503: st=5 fl=4 yy=FF24 yvel=63(0x3F)
F504: st=5 fl=4 yy=FF28 yvel=62(0x3E)
F505: st=5 fl=4 yy=FF2C yvel=61(0x3D)
F506: st=5 fl=4 yy=FF30 yvel=60(0x3C)
F507: st=5 fl=4 yy=FF34 yvel=59(0x3B)
F508: st=5 fl=4 yy=FF38 yvel=58(0x3A)
F509: st=5 fl=4 yy=FF3C yvel=57(0x39)
